적용조건,항목,기재내용,필요이유,연관주제1,연관주제2,연관주제3,연관주제4,연관주제5,연관주제6,연관주제7,관련법령1,관련법령2,관련법령3,관련법령4
공통,사용자 정보,"상호, 사업자등록번호, 대표자, 소재지, 전화번호",사용자 특정,임금체불 3.1.1,,,,,,,근로기준법 제17조,,,
공통,근로자 정보,"성명, 생년월일, 주소, 전화번호",근로자 특정,임금체불 3.1.1,,,,,,,근로기준법 제17조,,,
공통,근로개시일,근로 시작 날짜,근로관계 시작일 특정,계속근로기간 4.1.1,퇴직금 2.2.1,연차유급휴가 2.1.2,,,,,근로기준법 제17조,,,
공통,근무장소,실제 근무할 장소,근로조건 명시,임금체불 3.1.1,,,,,,,근로기준법 제17조 제1항 제4호,,,
공통,업무내용,담당할 업무의 내용,업무 범위 명확화,근로자성 3.3.1,,,,,,,근로기준법 제17조 제1항 제4호,,,
공통,소정근로시간,"1일/1주 소정근로시간, 시업/종업 시각",근로시간 명확화,근로시간 2.1.1,탄력근로제 3.1.1,선택근로제 3.1.1,간주근로제 3.1.1,재량근로제 3.1.1,포괄임금제 2.1.1,감시단속적근로 6.1.1,근로기준법 제17조 제1항 제5호,근로기준법 제50조,,
공통,휴게시간,휴게시간 시작/종료 시각,휴게시간 보장,근로시간 2.1.1,감시단속적근로 6.1.1,,,,,,근로기준법 제17조 제1항 제5호,근로기준법 제54조,,
공통,근무일/휴일,"근무일, 주휴일 지정",휴일 명확화,휴일-휴일대체 3.1.1,교대제 3.2.1,주휴수당 2.5.1,,,,,근로기준법 제17조 제1항 제5호,근로기준법 제55조,,
공통,임금,임금 총액,임금 명시,임금체불 3.1.1,임금 3.1.1,포괄임금제 2.1.1,최저임금 3.1.1,,,,근로기준법 제17조 제1항 제1호,,,
공통,임금 구성항목,"기본급, 각종 수당 등 구성항목별 금액",임금 구성 명확화,법정외수당 2.1.1,포괄임금제 2.1.1,통상임금 4.2.1,평균임금 4.1.1,,,,근로기준법 제17조 제1항 제1호,,,
공통,임금 계산방법,시간급/일급/월급 등 계산방식,임금 산정 기준,포괄임금제 2.1.1,임금 3.1.1,통상임금 4.2.1,,,,,근로기준법 제17조 제1항 제1호,,,
공통,임금 지급방법,"계좌이체, 현금 등 지급방식",지급방법 명확화,임금체불 3.1.1,임금대장-임금명세서 2.1.1,,,,,,근로기준법 제17조 제1항 제2호,근로기준법 제43조,,
공통,임금 지급시기,매월 지급일,지급일 명확화,임금체불 3.1.1,,,,,,,근로기준법 제17조 제1항 제2호,근로기준법 제43조 제2항,,
공통,사회보험,4대보험 가입 여부,사회보험 적용,상시근로자수 4.1.1,근로자성 3.3.1,,,,,,국민연금법,국민건강보험법,고용보험법,산업재해보상보험법
공통,퇴직금,퇴직금 지급 여부 및 제도,퇴직급여 보장,퇴직금 2.2.1,임금체불 3.1.1,계속근로기간 4.1.1,평균임금 4.1.1,,,,근로자퇴직급여보장법 제4조,근로자퇴직급여보장법 제8조,,
공통,수습기간,수습기간 및 수습 중 근로조건,수습 적용 기준,계속근로기간 4.1.1,최저임금 3.1.1,,,,,,최저임금법 제5조 제2항,,,
공통,근로계약서 교부,근로계약서 1부 교부,교부 의무,임금체불 3.1.1,,,,,,,근로기준법 제17조 제2항,,,
공통,계약서 작성일,계약서 작성 날짜,작성시점 명확화,임금체불 3.1.1,,,,,,,근로기준법 제17조,,,
공통,당사자 서명날인,"사용자, 근로자 서명 또는 날인",계약 성립 증명,임금체불 3.1.1,,,,,,,근로기준법 제17조,,,
공통,성실 이행의무,사용자와 근로자는 각자가 이 계약을 성실하게 이행하여야 한다,계약 준수 의무,임금체불 3.1.1,,,,,,,근로기준법 제17조,,,
공통,기타사항,이 계약에 정함이 없는 사항은 근로기준법령에 의함,법령 보충적 적용,임금체불 3.1.1,,,,,,,근로기준법,,,
5인이상,연차유급휴가,1년 80% 출근 시 15일,연차휴가 부여,연차촉진 2.1.1,연차유급휴가 2.1.2,연차수당 2.1.2,임금체불 3.1.1,,,,근로기준법 제60조,,,
5인이상,연장·야간·휴일근로,연장/야간/휴일근로 시 통상임금 50% 가산,가산수당 지급,근로시간 2.1.1,가산수당 2.2.1,보상휴가 3.1.1,통상임금 4.2.1,,,,근로기준법 제56조,,,
기간제,근로계약기간,계약 시작일~종료일 (2년 한도),계약기간 명시,계속근로기간 4.1.1,퇴직금 2.2.1,,,,,,기간제및단시간근로자보호등에관한법률 제4조,,,
단시간,근로계약기간,계약 시작일~종료일,계약기간 명시,계속근로기간 4.1.1,,,,,,,기간제및단시간근로자보호등에관한법률 제17조,,,
단시간,근로일 및 근로일별 근로시간,각 근로일의 근로시간,단시간근로자 필수 기재,근로시간 2.1.1,주휴수당 2.5.1,,,,,,기간제및단시간근로자보호등에관한법률 제17조,,,
일용직,근로계약기간,1일 단위,일용근로 명시,일용직 1.1,계속근로기간 4.1.1,,,,,,근로기준법 제17조,,,
일용직,일당,1일 근로 대가,일급 명시,일용직 1.1,임금 3.1.1,임금체불 3.1.1,최저임금 3.1.1,,,,근로기준법 제17조,,,
연소자,연령증명서,가족관계증명서 등 연령 증명,연소자 확인,임금체불 3.1.1,,,,,,,근로기준법 제66조,,,
연소자,친권자 동의서,친권자 또는 후견인 동의,연소자 고용 요건,임금체불 3.1.1,,,,,,,근로기준법 제66조,,,
연소자,근로시간 제한,"1일 7시간, 주 35시간 한도",연소자 근로시간 제한,근로시간 2.1.1,,,,,,,근로기준법 제69조,,,
연소자,야간·휴일근로 제한,"원칙 금지, 동의+인가 시 가능",연소자 보호,근로시간 2.1.1,,,,,,,근로기준법 제70조,,,
외국인,체류자격,"비자 종류, 체류기간",외국인 고용 요건,임금체불 3.1.1,,,,,,,외국인근로자의고용등에관한법률,,,
외국인,숙식제공 여부,숙소/식사 제공 여부 및 비용공제,복리후생 명시,임금체불 3.1.1,임금 3.1.1,,,,,,외국인근로자의고용등에관한법률,,,
외국인(농축어업),근로시간 특례,근로시간/휴게/휴일 특례 적용,농축어업 특례,근로시간 2.1.1,감시단속적근로 6.1.1,,,,,,근로기준법 제63조,,,
