적용조건,항목,기재내용,필요이유,연관주제1,연관주제2,연관주제3,연관주제4,연관주제5,연관주제6,연관주제7,관련법령1,관련법령2,관련법령3,관련법령4
공통,근로자 정보,"성명, 생년월일, 사원번호 등 근로자 특정 정보",근로자 특정,임금대장-임금명세서 2.1.1,,,,,,,근로기준법 시행령 제27조의2 제1호,근로기준법 제48조 제2항,,
공통,임금지급일,임금을 지급한 날짜,지급 시점 명확화,임금대장-임금명세서 2.1.1,임금체불 3.1.1,,,,,,근로기준법 시행령 제27조의2 제2호,근로기준법 제43조 제2항,,
공통,임금 총액,지급 임금 합계 금액,실수령액 확인,임금대장-임금명세서 2.1.1,임금 3.1.1,임금체불 3.1.1,,,,,근로기준법 시행령 제27조의2 제3호,,,
공통,기본급,기본급 금액,임금 구성항목 명시,임금대장-임금명세서 2.1.1,통상임금 4.2.1,평균임금 4.1.1,포괄임금제 2.1.1,,,,근로기준법 시행령 제27조의2 제4호,,,
공통,각종 수당,"연장/야간/휴일근로수당, 기타 수당별 금액",수당 항목별 투명화,임금대장-임금명세서 2.1.1,법정외수당 2.1.1,가산수당 2.2.1,포괄임금제 2.1.1,통상임금 4.2.1,,,근로기준법 시행령 제27조의2 제4호,근로기준법 제56조,,
공통,상여금,상여금 금액 (지급 시),임금 구성항목 명시,임금대장-임금명세서 2.1.1,법정외수당 2.1.1,통상임금 4.2.1,평균임금 4.1.1,,,,근로기준법 시행령 제27조의2 제4호,,,
공통,성과금,성과금 금액 (지급 시),임금 구성항목 명시,임금대장-임금명세서 2.1.1,법정외수당 2.1.1,평균임금 4.1.1,,,,,근로기준법 시행령 제27조의2 제4호,,,
공통,현물급여,"통화 외 지급 시 품명, 수량, 평가총액",현물 임금 가치 명시,임금대장-임금명세서 2.1.1,임금 3.1.1,,,,,,근로기준법 시행령 제27조의2 제4호,근로기준법 제43조 제1항,,
공통,임금 계산방법,"출근일수, 시간 등에 따른 계산방법",임금 산정 근거,임금대장-임금명세서 2.1.1,임금 3.1.1,근로시간 2.1.1,포괄임금제 2.1.1,,,,근로기준법 시행령 제27조의2 제5호,,,
공통,연장근로시간,연장근로 시간 수,연장근로수당 산정 근거,근로시간 2.1.1,가산수당 2.2.1,임금대장-임금명세서 2.1.1,포괄임금제 2.1.1,,,,근로기준법 시행령 제27조의2 제5호,근로기준법 제53조,근로기준법 제56조,
공통,야간근로시간,야간근로(22시~06시) 시간 수,야간근로수당 산정 근거,근로시간 2.1.1,가산수당 2.2.1,임금대장-임금명세서 2.1.1,포괄임금제 2.1.1,,,,근로기준법 시행령 제27조의2 제5호,근로기준법 제56조,,
공통,휴일근로시간,휴일근로 시간 수,휴일근로수당 산정 근거,근로시간 2.1.1,가산수당 2.2.1,임금대장-임금명세서 2.1.1,휴일-휴일대체 3.1.1,보상휴가 3.1.1,,,근로기준법 시행령 제27조의2 제5호,근로기준법 제56조,,
공통,공제항목별 금액,"소득세, 지방소득세, 4대보험료 등",공제 내역 투명화,임금대장-임금명세서 2.1.1,임금 3.1.1,임금체불 3.1.1,,,,,근로기준법 시행령 제27조의2 제6호,근로기준법 제43조 제1항 단서,,
공통,공제 총액,공제 항목 합계 금액,총 공제액 확인,임금대장-임금명세서 2.1.1,임금 3.1.1,,,,,,근로기준법 시행령 제27조의2 제6호,,,
공통,임금명세서 교부,서면 또는 전자문서로 교부,임금 지급 시 의무 교부,임금대장-임금명세서 2.1.1,임금체불 3.1.1,,,,,,근로기준법 제48조 제2항,,,
5인이상,연장근로수당,연장근로시간 × 시간급 × 1.5,통상임금 50% 가산,가산수당 2.2.1,근로시간 2.1.1,통상임금 4.2.1,포괄임금제 2.1.1,,,,근로기준법 제56조 제1항,,,
5인이상,야간근로수당,야간근로시간 × 시간급 × 0.5 (가산분),통상임금 50% 가산,가산수당 2.2.1,근로시간 2.1.1,통상임금 4.2.1,포괄임금제 2.1.1,,,,근로기준법 제56조 제1항,,,
5인이상,휴일근로수당,휴일근로시간 × 시간급 × 1.5(8시간 이내) 또는 ×2(8시간 초과),통상임금 50%~100% 가산,가산수당 2.2.1,근로시간 2.1.1,통상임금 4.2.1,휴일-휴일대체 3.1.1,보상휴가 3.1.1,,,근로기준법 제56조 제2항,,,
5인이상,주휴수당,주 15시간 이상 근무 시 유급주휴일 대가,주휴수당 지급,주휴수당 2.5.1,근로시간 2.1.1,통상임금 4.2.1,,,,,근로기준법 제55조,,,
일용직,일당,1일 근로 대가,일급제 임금 명시,일용직 1.1,임금 3.1.1,임금체불 3.1.1,임금대장-임금명세서 2.1.1,최저임금 3.1.1,,,근로기준법 제48조 제2항,,,
